76036 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:43 | Soft Killed
76059 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:43 | Soft Killed
76063 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:44 | Soft Killed
76097 | ps | CPU:150% | MEM:0.1% | 2025-12-19 10:56:47 | Soft Killed
76109 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:48 | Soft Killed
76109 | ps | CPU:300% | MEM:0.0% | 2025-12-19 10:56:48 | Soft Killed
76109 | ps | CPU:300% | MEM:0.0% | 2025-12-19 10:56:48 | Soft Killed
76129 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:48 | Soft Killed
76143 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:50 | Soft Killed
76110 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:56:50 | Soft Killed
76110 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:56:50 | Soft Killed
76110 | ps | CPU:300% | MEM:0.2% | 2025-12-19 10:56:50 | Soft Killed
76166 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:56:51 | Soft Killed
76111 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:56:52 | Soft Killed
76111 | ps | CPU:400% | MEM:0.2% | 2025-12-19 10:56:52 | Soft Killed
76111 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:56:52 | Soft Killed
76210 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:56:54 | Soft Killed
76236 | ps | CPU:150% | MEM:0.2% | 2025-12-19 10:56:55 | Soft Killed
76253 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:57 | Soft Killed
76267 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:56:58 | Soft Killed
76279 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:56:59 | Soft Killed
76279 | ps | CPU:300% | MEM:0.0% | 2025-12-19 10:56:59 | Soft Killed
76280 | ps | CPU:200% | MEM:0.0% | 2025-12-19 10:56:59 | Soft Killed
76311 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:01 | Soft Killed
76280 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:57:01 | Soft Killed
76280 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:57:01 | Soft Killed
76283 | ps | CPU:200% | MEM:0.0% | 2025-12-19 10:57:01 | Soft Killed
76332 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:57:01 | Soft Killed
76344 | ps | CPU:700% | MEM:0.1% | 2025-12-19 10:57:03 | Soft Killed
76283 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:57:03 | Soft Killed
76283 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:57:03 | Soft Killed
76284 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:03 | Soft Killed
76382 | ps | CPU:400% | MEM:0.1% | 2025-12-19 10:57:05 | Soft Killed
76284 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:05 | Soft Killed
76284 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:57:05 | Soft Killed
76424 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:08 | Soft Killed
76436 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:08 | Soft Killed
76440 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:09 | Soft Killed
76452 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:10 | Soft Killed
76483 | ps | CPU:300% | MEM:0.1% | 2025-12-19 10:57:12 | Soft Killed
76495 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:57:12 | Soft Killed
76495 | ps | CPU:200% | MEM:0.2% | 2025-12-19 10:57:12 | Soft Killed
76496 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:14 | Soft Killed
76496 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:14 | Soft Killed
76535 | ps | CPU:200% | MEM:0.1% | 2025-12-19 10:57:15 | Soft Killed
76537 | ps | CPU:100% | MEM:0.1% | 2025-12-19 10:57:15 | Soft Killed
